Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16082018,493944695,0001764
Trade Date <16-AUG-2018>,Settlement Type <N>,Settlement No <2018157>,Settlement Date <21-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,51810,36550,70.55
20,2,21STCENMGM,EQ,1406,1236,87.91
20,3,3IINFOTECH,EQ,2709033,1106720,40.85
20,4,3MINDIA,EQ,1357,677,49.89
20,5,5PAISA,EQ,2355,1701,72.23
20,6,63MOONS,EQ,369585,101964,27.59
20,7,8KMILES,EQ,300167,106018,35.32
20,8,A2ZINFRA,EQ,298899,185401,62.03
20,9,AARTIDRUGS,EQ,11333,7067,62.36
20,10,AARTIIND,EQ,27864,13637,48.94
20,11,AARVEEDEN,EQ,7261,5803,79.92
20,12,AARVI,SM,2000,2000,100.00
20,13,ABAN,EQ,376917,79534,21.10
20,14,ABB,EQ,23277,11165,47.97
20,15,ABBOTINDIA,EQ,19528,14895,76.28
20,16,ABCAPITAL,EQ,1430426,647124,45.24
20,17,ABFRL,EQ,4770803,983502,20.62
20,18,ACC,EQ,394082,150619,38.22
20,19,ACCELYA,EQ,2990,1923,64.31
20,20,ACCURACY,SM,3200,3200,100.00
20,21,ACE,EQ,191864,105074,54.76
20,22,ADANIENT,EQ,9452650,640030,6.77
20,23,ADANIGREEN,EQ,82087,82080,99.99
20,24,ADANIPORTS,EQ,2376448,1412987,59.46
20,25,ADANIPOWER,EQ,32663843,1544071,4.73
20,26,ADANITRANS,EQ,514605,108957,21.17
20,27,ADFFOODS,EQ,25128,15351,61.09
20,28,ADHUNIKIND,EQ,10490,6504,62.00
20,29,ADLABS,EQ,55478,28350,51.10
20,30,ADORWELD,EQ,4799,2539,52.91
20,31,ADSL,EQ,16072,10016,62.32
20,32,ADVANIHOTR,EQ,10181,7696,75.59
20,33,ADVENZYMES,EQ,91173,62337,68.37
20,34,AEGISCHEM,EQ,92016,41959,45.60
20,35,AFL,EQ,21852,14007,64.10
20,36,AGARIND,EQ,1809,1046,57.82
20,37,AGCNET,EQ,3376,2616,77.49
20,38,AGLSL,EQ,13503,9031,66.88
20,39,AGRITECH,EQ,7111,4920,69.19
20,40,AGROPHOS,SM,108000,84000,77.78
20,41,AHLEAST,EQ,575,389,67.65
20,42,AHLUCONT,EQ,9157,6409,69.99
20,43,AHLWEST,EQ,670,655,97.76
20,44,AIAENG,EQ,66785,26663,39.92
20,45,AIFL,EQ,85721,16353,19.08
20,46,AIRAN,SM,10000,10000,100.00
20,47,AIROLAM,SM,15000,15000,100.00
20,48,AISL,SM,3600,3600,100.00
20,49,AJANTPHARM,EQ,441235,89780,20.35
20,50,AJMERA,BL,600000,600000,100.00
20,51,AJMERA,EQ,18021,11227,62.30
20,52,AKASH,SM,4000,1000,25.00
20,53,AKSHARCHEM,EQ,6389,4034,63.14
20,54,AKSHOPTFBR,EQ,574862,248275,43.19
20,55,AKZOINDIA,EQ,3845,3238,84.21
20,56,ALANKIT,EQ,984529,267123,27.13
20,57,ALBERTDAVD,EQ,57462,18586,32.34
20,58,ALBK,EQ,7064832,1254496,17.76
20,59,ALEMBICLTD,EQ,496736,226514,45.60
20,60,ALICON,EQ,11127,7901,71.01
20,61,ALKALI,EQ,5920,3624,61.22
20,62,ALKEM,EQ,128353,95554,74.45
20,63,ALKYLAMINE,EQ,7751,7569,97.65
20,64,ALLCARGO,EQ,359368,108304,30.14
20,65,ALLSEC,EQ,2272,1373,60.43
20,66,ALMONDZ,EQ,32430,23497,72.45
20,67,ALPA,EQ,551419,164565,29.84
20,68,ALPHAGEO,EQ,5680,2767,48.71
20,69,AMARAJABAT,EQ,889550,175782,19.76
20,70,AMBANIORG,SM,18000,18000,100.00
20,71,AMBER,EQ,18092,14883,82.26
20,72,AMBIKCO,EQ,13020,11453,87.96
20,73,AMBUJACEM,EQ,1030961,356783,34.61
20,74,AMDIND,EQ,33307,25890,77.73
20,75,AMJLAND,EQ,19128,11853,61.97
20,76,AMRUTANJAN,EQ,23607,22336,94.62
20,77,ANANTRAJ,EQ,638902,262420,41.07
20,78,ANDHRABANK,EQ,5032102,843163,16.76
20,79,ANDHRACEMT,EQ,77271,65182,84.36
20,80,ANDHRSUGAR,EQ,19156,12321,64.32
20,81,ANIKINDS,EQ,10744,8373,77.93
20,82,ANSALAPI,EQ,79415,54352,68.44
20,83,ANSALHSG,EQ,25808,17953,69.56
20,84,APARINDS,EQ,19199,10471,54.54
20,85,APCL,EQ,8831,8274,93.69
20,86,APCOTEXIND,EQ,22377,12457,55.67
20,87,APEX,EQ,111129,50952,45.85
20,88,APLAPOLLO,EQ,8772,5879,67.02
20,89,APLLTD,EQ,203273,51902,25.53
