RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1,20MICRONS,EQ,38815,28182,72.61
20,2,21STCENMGM,EQ,3964,3952,99.70
20,3,3IINFOTECH,EQ,1346007,692008,51.41
20,4,3MINDIA,EQ,3926,3010,76.67
20,5,5PAISA,EQ,3331,2568,77.09
20,6,63MOONS,EQ,124730,52580,42.16
20,7,8KMILES,EQ,72824,34718,47.67
20,8,A2ZINFRA,EQ,216501,114353,52.82
20,9,AARTIDRUGS,EQ,10839,6617,61.05
20,10,AARTIIND,EQ,22425,13346,59.51
20,11,AARVEEDEN,EQ,154810,52994,34.23
20,12,AARVI,SM,4000,4000,100.00
20,13,ABAN,EQ,451906,109760,24.29
20,14,ABB,EQ,402074,211383,52.57
20,15,ABBOTINDIA,EQ,7621,5154,67.63
20,16,ABCAPITAL,EQ,814444,466155,57.24
20,17,ABFRL,EQ,1314494,306621,23.33
20,18,ACC,EQ,1068497,351547,32.90
20,19,ACCELYA,EQ,4432,3180,71.75
20,20,ACE,EQ,168099,101909,60.62
20,21,ADANIENT,EQ,22079310,4319431,19.56
20,22,ADANIGREEN,EQ,2223954,866272,38.95
20,23,ADANIPORTS,EQ,1592878,433124,27.19
20,24,ADANIPOWER,EQ,25921741,8449114,32.59
20,25,ADANITRANS,EQ,2501968,1126961,45.04
20,26,ADFFOODS,EQ,29908,16926,56.59
20,27,ADHUNIKIND,EQ,4400,740,16.82
20,28,ADLABS,EQ,776078,213949,27.57
20,29,ADORWELD,EQ,5495,4481,81.55
20,30,ADSL,EQ,10322,6861,66.47
20,31,ADVANIHOTR,EQ,14583,11425,78.34
20,32,ADVENZYMES,EQ,99033,57688,58.25
20,33,AEGISCHEM,EQ,85328,48569,56.92
20,34,AFL,EQ,341878,134796,39.43
20,35,AGARIND,EQ,1010,732,72.48
20,36,AGCNET,EQ,1463,1152,78.74
20,37,AGLSL,EQ,1039,579,55.73
20,38,AGRITECH,EQ,33749,21310,63.14
20,39,AGROPHOS,SM,30000,6000,20.00
20,40,AHLEAST,EQ,4820,3866,80.21
20,41,AHLUCONT,EQ,2778,1740,62.63
20,42,AHLWEST,EQ,317,166,52.37
20,43,AIAENG,EQ,33292,18864,56.66
20,44,AIFL,EQ,110425,19838,17.97
20,45,AIRAN,SM,5000,5000,100.00
20,46,AIROLAM,SM,27000,24000,88.89
20,47,AISL,SM,2400,2400,100.00
20,48,AJANTPHARM,EQ,600133,89102,14.85
20,49,AJMERA,BL,1683009,1683009,100.00
20,50,AJMERA,EQ,27160,16027,59.01
20,51,AJOONI,SM,4000,4000,100.00
20,52,AKSHARCHEM,EQ,7677,4782,62.29
20,53,AKSHOPTFBR,EQ,722081,353744,48.99
20,54,AKZOINDIA,EQ,7289,6058,83.11
20,55,ALANKIT,EQ,1094035,194144,17.75
20,56,ALBERTDAVD,EQ,12980,7330,56.47
20,57,ALBK,EQ,2471579,310448,12.56
20,58,ALEMBICLTD,EQ,291857,128804,44.13
20,59,ALICON,EQ,1007,669,66.43
20,60,ALKALI,EQ,5538,3480,62.84
20,61,ALKEM,EQ,91979,59023,64.17
20,62,ALKYLAMINE,EQ,2724,2439,89.54
20,63,ALLCARGO,EQ,321596,116796,36.32
20,64,ALLSEC,EQ,3424,1895,55.34
20,65,ALPA,EQ,35674,21635,60.65
20,66,ALPHAGEO,EQ,15059,10579,70.25
20,67,AMARAJABAT,EQ,1820624,332467,18.26
20,68,AMBER,EQ,6222,3887,62.47
20,69,AMBIKCO,EQ,1547,1156,74.73
20,70,AMBUJACEM,EQ,6380758,2467672,38.67
20,71,AMDIND,EQ,10901,10216,93.72
20,72,AMJLAND,EQ,33130,19109,57.68
20,73,AMRUTANJAN,EQ,34335,29784,86.75
20,74,ANANTRAJ,EQ,663397,400237,60.33
20,75,ANDHRABANK,EQ,2833245,379760,13.40
20,76,ANDHRACEMT,EQ,117071,82729,70.67
20,77,ANDHRSUGAR,EQ,15736,11270,71.62
20,78,ANIKINDS,EQ,5351,2126,39.73
20,79,ANSALAPI,EQ,40100,23151,57.73
20,80,ANSALHSG,EQ,25500,20506,80.42
20,81,APARINDS,EQ,5564,4515,81.15
20,82,APCL,EQ,14454,6893,47.69
20,83,APCOTEXIND,EQ,4357,2319,53.22
20,84,APEX,EQ,113022,42240,37.37
20,85,APLAPOLLO,EQ,8470,6066,71.62
20,86,APLLTD,EQ,33323,12788,38.38
20,87,APOLLO,EQ,69840,25919,37.11
20,88,APOLLOHOSP,EQ,1506268,209422,13.90
20,89,APOLLOTYRE,EQ,6870652,1905940,27.74
20,90,APOLSINHOT,EQ,1178,915,77.67
20,91,APTECHT,EQ,584615,154269,26.39
20,92,ARCHIDPLY,EQ,18793,11454,60.95
20,93,ARCHIES,EQ,50628,32361,63.92
20,94,ARIES,EQ,198030,44049,22.24
20,95,ARIHANTSUP,EQ,41026,8849,21.57
20,96,ARMANFIN,EQ,11537,8523,73.88
20,97,AROGRANITE,EQ,21128,9852,46.63
20,98,ARROWGREEN,EQ,9214,7359,79.87
20,99,ARROWTEX,EQ,4648,2666,57.36
20,100,ARSHIYA,EQ,13039,7329,56.21
20,101,ARVEE,SM,4000,0,0.00
20,102,ARVIND,EQ,1836142,175307,9.55
20,103,ARVSMART,EQ,13584,8070,59.41
20,104,ASAHIINDIA,EQ,5790,3590,62.00
20,105,ASAHISONG,EQ,2871,2455,85.51
20,106,ASAL,EQ,11311,6323,55.90
20,107,ASHAPURMIN,EQ,322143,117741,36.55
20,108,ASHIANA,EQ,26544,19385,73.03
20,109,ASHIMASYN,EQ,43169,24710,57.24
20,110,ASHOKA,EQ,300062,262825,87.59
20,111,ASHOKLEY,EQ,10482675,2682270,25.59
20,112,ASIANHOTNR,EQ,3388,2119,62.54
20,113,ASIANPAINT,EQ,1520772,933946,61.41
20,114,ASIANTILES,EQ,854167,493716,57.80
20,115,ASLIND,SM,12000,0,0.00
20,116,ASPINWALL,EQ,1439,1286,89.37
20,117,ASTEC,EQ,14573,10675,73.25
20,118,ASTERDM,EQ,61772,44688,72.34
20,119,ASTRAL,EQ,21641,14724,68.04
20,120,ASTRAMICRO,EQ,132402,49209,37.17
20,121,ASTRAZEN,EQ,39969,12416,31.06
20,122,ASTRON,EQ,102181,42268,41.37
20,123,ATFL,EQ,6154,5279,85.78
20,124,ATLANTA,EQ,85686,45748,53.39
20,125,ATUL,EQ,52932,50598,95.59
20,126,ATULAUTO,EQ,10576,7690,72.71
20,127,AUBANK,EQ,377889,247135,65.40
20,128,AUROPHARMA,EQ,3773460,1298263,34.41
20,129,AUSOMENT,EQ,41842,20977,50.13
20,130,AUTOAXLES,EQ,246641,204395,82.87
20,131,AUTOIND,EQ,25973,10068,38.76
20,132,AUTOLITIND,EQ,6083,4621,75.97
20,133,AVADHSUGAR,EQ,20001,10273,51.36
20,134,AVANTIFEED,EQ,323420,137086,42.39
20,135,AVONMPL,SM,8000,6000,75.00
20,136,AVSL,SM,6000,6000,100.00
20,137,AVTNPL,EQ,61476,37164,60.45
20,138,AXISBANK,EQ,15522297,8727671,56.23
20,139,AXISCADES,EQ,68057,33707,49.53
20,140,AXISGOLD,EQ,51,45,88.24
20,141,AXISNIFTY,EQ,86,76,88.37
20,142,AYMSYNTEX,EQ,25166,19563,77.74
20,143,BAFNAPHARM,EQ,16458,12065,73.31
20,144,BAGFILMS,EQ,2639016,1367019,51.80
20,145,BAJAJ-AUTO,EQ,463379,165176,35.65
20,146,BAJAJCORP,EQ,11275,7423,65.84
20,147,BAJAJELEC,EQ,242162,87081,35.96
20,148,BAJAJFINSV,EQ,144611,44365,30.68
20,149,BAJAJHIND,EQ,670186,440523,65.73
20,150,BAJAJHLDNG,EQ,10182,5693,55.91
20,151,BAJFINANCE,EQ,951549,296876,31.20
20,152,BALAJITELE,EQ,94276,56165,59.58
20,153,BALAMINES,EQ,16395,7880,48.06
20,154,BALKRISHNA,EQ,14181,9087,64.08
20,155,BALKRISIND,EQ,549076,168087,30.61
20,156,BALLARPUR,EQ,648935,376793,58.06
20,157,BALMLAWRIE,EQ,107873,84224,78.08
20,158,BALPHARMA,EQ,136522,62726,45.95
20,159,BALRAMCHIN,EQ,1942098,354898,18.27
20,160,BANARBEADS,EQ,1180,919,77.88
20,161,BANARISUG,EQ,81,55,67.90
20,162,BANCOINDIA,EQ,115767,50946,44.01
20,163,BANDHANBNK,EQ,589147,287917,48.87
20,164,BANG,EQ,19245,10121,52.59
20,165,BANKBARODA,EQ,16772616,1824767,10.88
20,166,BANKBEES,EQ,31708,30482,96.13
20,167,BANKINDIA,EQ,6258726,628190,10.04
20,168,BANSAL,SM,84000,51000,60.71
20,169,BANSWRAS,EQ,418,336,80.38
20,170,BARTRONICS,EQ,14914,10874,72.91
20,171,BASF,EQ,6714,4036,60.11
20,172,BASML,EQ,618,430,69.58
20,173,BATAINDIA,EQ,746840,218989,29.32
20,174,BAYERCROP,EQ,9268,5392,58.18
20,175,BBL,EQ,10773,5508,51.13
20,176,BBTC,EQ,583713,134941,23.12
20,177,BDL,EQ,13619,9434,69.27
20,178,BEARDSELL,EQ,2095,1957,93.41
20,179,BEDMUTHA,EQ,4625,1943,42.01
20,180,BEL,EQ,4917888,1490953,30.32
20,181,BEML,EQ,1525686,164577,10.79
20,182,BEPL,EQ,827633,229091,27.68
20,183,BERGEPAINT,EQ,1349602,304855,22.59
20,184,BETA,SM,42400,42400,100.00
20,185,BFINVEST,EQ,328207,74077,22.57
20,186,BFUTILITIE,EQ,318494,60014,18.84
20,187,BGRENERGY,EQ,154454,99724,64.57
20,188,BHAGERIA,EQ,16626,11348,68.25
20,189,BHAGYAPROP,EQ,4714,3072,65.17
20,190,BHANDARI,EQ,151628,117337,77.38
