Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"GMRINFRA","17.75","19.35","17.75","19.20","1.55","8.78","996.09","187.26","25.05","14.55","16.36","5.49"
"DALMIABHA","2,556.25","2,717.45","2,554.40","2,692.35","156.40","6.17","2.69","70.85","3,350.00","2,178.70","3.15","13.84"
"IFCI","16.10","17.20","16.10","17.00","0.90","5.59","93.62","15.74","34.60","14.45","-26.25","12.96"
"BANKINDIA","90.15","93.90","90.15","93.80","4.95","5.57","129.71","119.81","216.80","76.50","-36.21","14.46"
"CADILAHC","344.00","359.00","344.00","357.80","17.60","5.17","65.63","232.51","519.45","332.75","-25.96","-0.65"
"IDFC","50.50","52.45","49.30","52.20","2.30","4.61","60.04","30.99","68.00","42.90","-8.02","14.47"
"GRANULES","106.25","111.50","106.25","111.20","4.70","4.41","55.09","60.48","150.00","71.55","-12.30","22.06"
"GRASIM","1,005.00","1,048.65","1,001.00","1,042.75","43.30","4.33","26.66","275.63","1,300.00","914.20","-5.76","10.84"
"YESBANK","382.40","395.65","380.30","394.75","16.30","4.31","160.94","626.94","395.65","285.00","12.03","3.66"
"INDIACEM","112.80","118.55","112.00","116.60","4.80","4.29","66.77","77.24","205.95","97.10","-36.97","13.37"
"SHREECEM","17,275.00","17,898.00","17,068.60","17,725.00","710.10","4.17","0.21","36.73","19,848.90","14,980.00","1.32","10.65"
"STAR","436.00","452.90","432.05","449.45","17.65","4.09","52.77","235.28","1,041.10","333.30","-50.87","24.85"
"APOLLOHOSP","1,140.00","1,209.50","1,131.00","1,185.85","45.35","3.98","42.05","497.95","1,263.40","910.10","2.28","21.34"
"JINDALSTEL","194.45","199.85","194.15","199.40","7.55","3.94","77.66","153.34","294.30","128.10","44.08","0.20"
"TORNTPHARM","1,709.95","1,774.70","1,695.00","1,764.00","63.85","3.76","5.36","93.53","1,774.70","1,147.30","33.24","21.69"
"CANBK","270.00","278.25","270.00","277.50","9.90","3.70","67.00","184.10","463.70","216.55","-17.62","18.21"
"SREINFRA","47.90","49.00","47.30","48.85","1.70","3.61","34.76","16.81","129.80","46.35","-59.22","-21.02"
"LUPIN","853.70","884.75","850.50","879.95","30.20","3.55","43.12","376.52","1,090.00","723.65","-8.43","6.35"
"RELINFRA","405.80","418.80","404.05","416.70","13.90","3.45","25.27","103.64","589.90","364.65","-15.71","8.09"
"DHFL","652.40","673.60","649.50","670.30","21.95","3.39","43.85","291.77","680.55","427.65","49.29","9.01"
"GSFC","111.05","114.75","111.05","114.50","3.65","3.29","11.48","12.98","166.40","100.05","-9.63","8.17"
"CANFINHOME","314.00","327.75","314.00","323.40","10.25","3.27","12.86","41.64","603.59","308.40","-45.53","-2.34"
"SBIN","295.00","302.70","294.05","302.20","9.50","3.25","219.31","654.64","351.30","232.35","6.75","16.66"
"RCOM","18.55","19.90","18.05","19.15","0.60","3.23","1,759.44","333.24","40.15","9.60","-17.99","46.74"
"NHPC","25.00","25.70","24.90","25.65","0.80","3.22","39.34","9.91","34.50","22.35","-17.52","7.55"
"HCC","12.50","13.15","12.50","12.85","0.40","3.21","119.61","15.32","44.95","9.45","-64.11","20.66"
"ORIENTBANK","77.15","79.35","77.15","79.05","2.40","3.13","29.16","22.83","159.90","65.60","-36.25","11.34"
"GLENMARK","585.00","604.85","585.00","601.45","18.20","3.12","16.62","99.34","654.95","493.50","-3.24","6.64"
"L&TFH","177.50","182.80","176.50","181.95","5.45","3.09","52.25","94.20","213.85","140.55","3.09","23.52"
"TATAMOTORS","253.70","260.10","253.00","259.05","7.75","3.08","161.18","413.84","468.00","243.10","-33.45","0.43"
"RAMCOCEM","661.25","684.55","651.00","680.00","20.25","3.07","4.12","27.50","879.10","620.10","-1.95","2.70"
"TV18BRDCST","47.50","49.00","47.50","48.70","1.45","3.07","52.33","25.30","70.80","35.30","32.52","4.28"
"AUROPHARMA","642.00","662.90","640.80","654.55","19.25","3.03","66.88","438.02","809.45","527.00","-8.31","12.17"
"RAYMOND","777.60","801.80","758.35","794.20","22.80","2.96","12.53","97.40","1,153.00","725.60","7.54","-5.28"
"MOTHERSUMI","304.55","313.40","302.70","311.00","8.90","2.95","31.92","98.67","395.60","274.25","-6.25","9.10"
"TECHM","666.00","690.00","659.40","688.40","19.75","2.95","39.55","267.75","729.50","400.00","63.92","6.43"
"NMDC","101.90","105.95","101.80","104.40","2.80","2.76","42.55","44.54","162.70","93.50","-13.83","7.52"
"IDFCBANK","45.50","46.80","45.50","46.60","1.25","2.76","136.42","63.34","70.40","35.80","-16.41","24.43"
"VEDL","212.20","216.70","211.00","214.55","5.75","2.75","133.08","285.49","355.70","200.65","-27.81","2.12"
"BANKBARODA","143.85","147.75","142.95","146.60","3.90","2.73","124.00","180.30","206.65","109.50","-0.37","21.36"
"UJJIVAN","346.95","353.60","344.45","352.95","9.25","2.69","10.03","35.06","434.75","302.05","9.19","-6.60"
"HINDUNILVR","1,741.10","1,788.60","1,731.75","1,784.00","46.60","2.68","14.20","250.58","1,788.60","1,151.00","50.38","6.08"
"TATAPOWER","67.40","69.00","67.05","68.90","1.75","2.61","28.15","19.15","101.80","66.55","-16.03","-2.82"
"ANDHRABANK","32.00","32.35","31.70","32.35","0.80","2.54","26.51","8.49","73.45","29.25","-36.75","4.52"
"PAGEIND","33,500.00","34,198.80","33,451.50","34,100.00","833.05","2.50","0.40","134.64","34,250.00","16,565.10","99.75","18.81"
"DABUR","447.00","459.00","444.00","456.00","11.10","2.49","32.14","144.82","459.00","296.50","47.55","20.68"
"SYNDIBANK","38.30","38.95","38.05","38.70","0.90","2.38","40.77","15.70","95.90","37.30","-40.19","-2.52"
"UNIONBANK","86.05","87.00","85.50","86.40","2.00","2.37","79.51","68.60","196.05","73.90","-35.16","7.06"
"PNB","82.50","83.90","82.30","83.45","1.90","2.33","256.11","212.85","231.45","71.65","-43.44","6.04"
"TATASTEEL","571.95","585.20","571.80","580.70","13.15","2.32","87.43","508.20","748.11","493.00","-8.00","9.08"
"TITAN","924.90","945.00","921.55","940.60","21.15","2.30","26.97","253.08","999.70","563.65","49.85","11.29"
"BEL","115.70","118.40","115.10","117.45","2.60","2.26","39.14","45.87","193.40","96.70","-26.30","12.88"
"BRITANNIA","6,519.30","6,640.45","6,479.20","6,637.80","143.65","2.21","2.02","132.64","6,640.45","4,142.20","54.37","3.28"
"ACC","1,562.20","1,601.65","1,553.50","1,593.45","34.40","2.21","6.65","105.19","1,869.95","1,255.65","-12.02","23.68"
"CAPF","609.70","625.00","609.00","621.25","13.40","2.20","7.61","47.22","901.85","475.00","-16.30","25.15"
"MARICO","363.35","372.00","363.35","370.90","7.60","2.09","9.90","36.52","374.75","284.15","17.39","6.60"
"TATACHEM","702.00","713.75","694.10","709.50","14.55","2.09","8.37","58.84","787.50","568.10","18.03","3.74"
"ITC","307.80","315.30","307.80","313.70","6.25","2.03","254.14","795.88","315.30","250.00","12.36","16.25"
"BHEL","73.00","74.60","72.70","74.00","1.40","1.93","50.02","36.81","107.95","64.45","-14.58","8.74"
"AMBUJACEM","226.25","229.65","225.10","228.75","4.25","1.89","17.22","39.08","291.50","189.00","-15.29","16.95"
"BHARATFORG","623.60","634.75","621.00","630.80","11.60","1.87","9.60","60.49","798.00","556.70","6.26","2.35"
"DLF","208.95","211.85","208.15","210.45","3.75","1.81","77.28","162.29","273.85","158.20","16.40","16.95"
"CESC","921.70","936.00","911.00","929.05","16.20","1.77","4.02","36.99","1,190.00","861.35","-1.25","3.53"
"ULTRACEMCO","4,260.00","4,308.55","4,204.45","4,288.00","74.50","1.77","2.62","111.15","4,599.90","3,563.00","8.80","10.08"
"SIEMENS","1,004.00","1,023.10","1,004.00","1,020.25","17.40","1.74","1.84","18.69","1,453.50","931.00","-22.03","6.00"
"JSWSTEEL","329.90","335.80","329.90","333.80","5.65","1.72","37.29","124.26","351.00","228.25","40.40","8.59"
"CHOLAFIN","1,475.00","1,497.00","1,460.35","1,490.00","25.05","1.71","3.11","45.85","1,760.05","1,051.95","28.42","-5.63"
"ICICIBANK","336.80","342.20","335.85","340.00","5.70","1.71","240.91","818.41","365.70","255.00","15.27","27.60"
"MCDOWELL-N","624.90","641.00","623.10","638.00","10.65","1.70","19.05","120.55","801.03","468.01","-74.97","10.00"
"ALBK","40.15","40.30","39.65","40.20","0.65","1.64","41.40","16.58","89.00","37.30","-39.91","-4.74"
"SAIL","75.20","76.60","74.80","75.65","1.20","1.61","73.59","55.85","101.45","52.85","27.68","3.77"
"PFC","81.60","83.70","81.30","82.30","1.30","1.60","59.90","49.41","149.65","67.50","-30.55","15.35"
"RECLTD","109.65","110.90","107.50","110.45","1.70","1.56","42.43","46.46","184.00","89.00","-32.71","15.29"
"CHENNPETRO","301.65","306.95","300.35","306.90","4.70","1.56","6.43","19.55","480.50","262.45","-21.46","10.48"
"ASHOKLEY","126.60","129.20","126.60","128.10","1.90","1.51","138.36","177.67","167.50","100.00","22.29","-0.35"
"CASTROLIND","154.00","157.20","153.85","156.05","2.30","1.50","11.20","17.48","214.48","152.70","-59.66","-2.16"
"INFIBEAM","197.65","202.05","196.05","200.60","2.95","1.49","51.47","102.85","202.05","87.15","39.72","27.08"
"HINDALCO","218.55","221.20","217.60","219.25","3.15","1.46","52.33","115.07","284.00","192.35","-6.14","-0.11"
"DISHTV","68.55","70.35","68.10","69.60","1.00","1.46","40.38","27.97","86.90","63.70","-3.47","1.75"
"TATAGLOBAL","240.80","244.50","239.20","242.70","3.35","1.40","28.38","68.85","328.75","181.50","25.20","-2.10"
"SOUTHBANK","18.05","18.65","18.05","18.30","0.25","1.39","227.99","41.77","34.75","17.65","-34.64","-19.21"
"RELCAPITAL","430.00","438.80","429.60","433.00","5.70","1.33","26.21","113.84","879.90","334.30","-45.27","22.04"
"LICHSGFIN","553.90","559.40","551.50","558.30","7.20","1.31","12.68","70.58","689.55","455.40","-15.35","7.67"
"CUMMINSIND","675.10","682.00","669.15","677.80","8.65","1.29","2.93","19.84","984.00","613.20","-26.41","7.79"
"INDIANB","339.35","344.00","336.75","341.15","4.30","1.28","14.92","50.79","427.40","253.05","15.53","0.83"
"APOLLOTYRE","266.25","269.00","264.30","266.80","3.35","1.27","18.04","48.13","307.25","228.15","-2.16","-3.77"
"KOTAKBANK","1,252.00","1,273.95","1,245.00","1,261.00","15.60","1.25","32.54","411.46","1,417.00","962.00","26.03","-9.97"
"RPOWER","32.55","32.65","31.90","32.55","0.40","1.24","59.04","19.10","65.20","28.80","-19.93","7.25"
"IDBI","61.90","62.60","61.25","62.15","0.75","1.22","97.84","60.66","91.50","47.00","16.71","6.88"
"SRF","1,962.00","2,000.00","1,955.00","1,985.00","23.85","1.22","4.37","86.89","2,446.60","1,432.80","33.71","20.58"
"NIITTECH","1,316.00","1,337.90","1,301.65","1,328.15","15.90","1.21","6.60","87.07","1,347.95","476.40","170.58","19.14"
"UPL","612.70","618.80","607.65","617.00","7.35","1.21","12.12","74.37","879.55","537.25","-27.59","8.06"
"WOCKPHARMA","621.60","634.50","621.60","625.90","7.40","1.20","16.70","104.93","1,012.00","530.65","9.82","5.51"
"VOLTAS","608.10","625.50","608.10","615.05","7.20","1.18","14.99","92.40","675.30","493.05","13.37","12.75"
"M&MFIN","475.25","484.75","475.25","479.05","5.60","1.18","8.12","39.07","534.00","386.10","12.93","-1.15"
"AJANTPHARM","1,192.10","1,219.00","1,188.95","1,202.00","13.80","1.16","4.65","56.02","1,595.00","895.85","-4.10","20.55"
"ADANIPORTS","371.00","379.10","371.00","374.50","4.20","1.13","19.83","74.48","452.35","350.45","-5.80","2.13"
"MRPL","80.50","82.30","78.85","81.00","0.90","1.12","7.77","6.29","146.70","73.35","-34.91","0.50"
"EQUITAS","139.30","143.10","138.95","141.20","1.55","1.11","11.68","16.55","183.60","129.30","-10.06","3.56"
"M&M","954.55","968.80","950.15","961.40","10.15","1.07","22.46","216.12","968.80","612.00","-29.89","4.22"
"PVR","1,300.00","1,313.40","1,287.70","1,305.50","13.80","1.07","3.12","40.58","1,568.45","1,062.80","-1.78","12.48"
"BEML","804.40","818.00","797.80","804.60","8.50","1.07","11.34","91.90","1,947.00","737.30","-53.14","1.74"
"TATAMTRDVR","136.50","138.70","135.55","135.90","1.40","1.04","50.45","68.97","261.90","133.50","-41.32","-5.10"
"DIVISLAB","1,166.00","1,185.95","1,148.65","1,176.50","12.10","1.04","9.60","111.94","1,223.00","618.20","79.00","9.48"
"NATIONALUM","68.70","70.80","68.55","68.80","0.70","1.03","176.97","123.05","97.60","56.55","-0.51","14.38"
"GODREJCP","1,340.00","1,352.25","1,321.50","1,348.75","13.40","1.00","7.86","105.25","1,379.00","883.00","46.30","3.45"
"ENGINERSIN","120.70","123.75","120.20","121.85","1.20","0.99","20.68","25.23","206.40","117.80","-19.22","-2.01"
"HEXAWARE","485.95","489.00","475.35","487.20","4.40","0.91","10.35","50.03","557.70","259.00","84.23","-3.71"
"ARVIND","399.00","403.60","398.20","401.50","3.50","0.88","11.30","45.34","478.50","357.30","6.70","-2.67"
"MRF","73,200.00","73,900.00","73,141.00","73,800.00","635.30","0.87","0.08","56.95","81,425.95","61,000.00","12.19","-1.08"
"PCJEWELLER","99.50","102.00","99.20","99.75","0.85","0.86","109.81","110.04","600.65","65.30","-71.09","20.04"
"CENTURYTEX","918.00","927.55","911.00","919.00","7.45","0.82","9.07","83.39","1,471.20","842.55","-24.24","4.63"
"HCLTECH","1,000.00","1,007.80","995.05","1,004.95","7.70","0.77","14.80","148.54","1,108.00","824.85","16.25","2.51"
"SRTRANSFIN","1,329.60","1,346.35","1,306.35","1,329.50","9.75","0.74","7.14","94.94","1,668.75","951.00","35.93","4.96"
"OFSS","4,030.10","4,051.00","3,982.45","4,050.00","28.25","0.70","0.45","17.91","4,379.20","3,372.25","13.68","4.34"
"KTKBANK","119.40","120.75","118.90","119.60","0.80","0.67","15.48","18.55","171.60","105.10","-17.89","5.93"
"KAJARIACER","411.90","415.05","406.00","412.90","2.65","0.65","6.48","26.64","767.70","406.00","-33.63","-7.50"
"LT","1,239.00","1,247.80","1,231.45","1,239.40","7.75","0.63","17.51","217.18","1,470.00","1,113.05","8.51","-3.69"
"IOC","159.00","160.00","158.65","159.50","1.00","0.63","34.22","54.56","231.48","150.00","-62.23","-3.01"
"ZEEL","502.95","506.50","499.15","503.50","3.05","0.61","11.88","59.76","619.00","477.00","-2.93","-2.58"
"BATAINDIA","1,009.50","1,024.90","1,006.90","1,013.00","5.95","0.59","10.10","102.65","1,024.90","653.10","50.41","20.38"
"AXISBANK","630.00","632.45","620.30","627.10","3.65","0.59","134.12","840.34","635.00","447.50","25.55","16.58"
"IDEA","50.80","51.50","50.55","50.90","0.30","0.59","79.18","40.34","118.90","48.30","-41.46","-2.96"
"INFRATEL","281.00","285.40","281.00","282.25","1.60","0.57","26.27","74.33","482.80","274.55","-26.29","-6.96"
"IBULHSGFIN","1,260.00","1,291.75","1,260.00","1,267.00","7.05","0.56","13.25","168.85","1,440.00","1,081.00","4.79","9.93"
"PIDILITIND","1,119.50","1,130.15","1,119.15","1,125.10","6.30","0.56","2.51","28.27","1,195.40","751.30","37.56","6.35"
"WIPRO","279.40","281.00","277.45","280.95","1.50","0.54","27.29","76.29","334.00","253.50","-3.10","-1.04"
"BERGEPAINT","334.80","337.30","330.30","331.40","1.70","0.52","25.30","84.68","337.30","230.55","34.39","5.54"
"CGPOWER","59.05","59.90","58.60","59.50","0.30","0.51","40.15","23.76","99.15","46.75","-26.54","1.28"
"ICICIPRULI","388.80","394.75","385.25","389.45","1.85","0.48","9.57","37.27","462.20","347.25","-10.44","8.97"
"HINDPETRO","268.20","270.75","265.65","267.40","1.25","0.47","28.01","75.09","492.80","250.60","-38.73","-4.94"
"PTC","82.90","83.80","82.40","83.50","0.35","0.42","11.29","9.40","130.45","67.80","-27.96","15.09"
"BHARATFIN","1,209.10","1,224.70","1,208.85","1,214.00","5.05","0.42","6.03","73.34","1,234.80","803.15","47.43","4.36"
"DRREDDY","2,373.90","2,411.30","2,350.90","2,362.95","9.50","0.40","8.89","212.21","2,615.00","1,887.00","17.84","14.41"
"RBLBANK","574.70","578.80","571.30","573.40","2.15","0.38","10.10","58.00","590.50","443.30","9.45","2.01"
"ASIANPAINT","1,403.00","1,405.15","1,390.00","1,400.00","5.20","0.37","5.37","75.03","1,490.60","1,090.10","22.67","1.73"
"COLPAL","1,145.00","1,151.00","1,135.55","1,144.70","4.20","0.37","8.51","97.38","1,281.70","1,015.10","7.30","1.78"
"SUNTV","792.00","797.80","781.00","787.50","2.25","0.29","14.03","110.93","1,097.80","691.50","5.22","3.05"
"NESTLEIND","10,887.00","10,920.00","10,785.00","10,887.15","29.90","0.28","0.59","63.95","10,970.00","6,578.05","62.97","3.57"
"EXIDEIND","291.70","293.30","288.20","291.00","0.80","0.28","7.46","21.69","299.50","192.40","40.61","8.87"
"INDUSINDBK","1,991.00","1,995.00","1,982.10","1,989.40","5.20","0.26","4.63","92.10","2,038.00","1,572.40","20.77","4.43"
"BAJAJFINSV","7,125.00","7,169.00","7,075.00","7,093.00","17.00","0.24","1.21","86.27","7,200.00","4,500.00","32.41","11.77"
"GODFRYPHLP","839.10","854.20","837.50","840.25","1.85","0.22","0.31","2.65","1,134.70","670.95","-19.35","19.24"
"BOSCHLTD","18,949.95","18,998.00","18,775.10","18,825.00","36.30","0.19","0.06","12.20","23,211.90","16,975.00","-15.62","8.10"
"SUNPHARMA","623.00","633.40","619.00","620.90","1.20","0.19","141.61","887.26","633.40","435.00","27.84","13.17"
"RELIANCE","1,209.00","1,215.40","1,200.05","1,202.65","1.85","0.15","38.31","463.12","1,231.70","765.00","53.59","10.10"
"JUBLFOOD","1,519.80","1,524.80","1,505.45","1,511.50","1.95","0.13","6.38","96.55","1,539.50","652.53","8.51","5.81"
"AMARAJABAT","859.80","868.00","853.15","855.95","0.95","0.11","2.68","23.05","902.85","664.55","5.28","9.11"
"GODREJIND","615.40","615.95","603.10","611.00","0.40","0.07","3.27","19.92","657.90","512.55","0.01","2.50"
"TCS","2,013.85","2,021.90","2,004.00","2,010.00","1.50","0.07","12.14","244.31","3,674.80","1,711.15","-19.35","0.39"
"HDFCBANK","2,082.90","2,093.05","2,071.65","2,077.00","1.30","0.06","15.16","315.93","2,220.00","1,736.80","16.60","-4.58"
"HINDZINC","278.00","279.90","275.35","276.20","0.15","0.05","3.61","10.04","340.20","260.65","-5.05","2.49"
"PEL","2,713.00","2,737.70","2,684.50","2,711.95","0.50","0.02","3.34","90.82","3,018.70","2,275.00","-1.34","7.13"
"SUZLON","7.25","7.30","7.20","7.20","0.00","0.00","111.98","8.11","17.75","6.85","-58.86","0.00"
"INDIGO","1,057.40","1,057.40","1,047.00","1,050.00","-0.05","-0.00","5.12","53.84","1,520.00","890.55","-20.04","-6.25"
"ESCORTS","870.00","881.80","862.60","869.50","0.00","0.00","6.89","60.09","1,017.70","591.05","36.03","-2.68"
"DCBBANK","165.95","167.80","164.60","165.05","-0.05","-0.03","6.26","10.39","206.50","155.05","-10.88","1.23"
"JETAIRWAYS","303.25","310.00","298.20","300.15","-0.10","-0.03","70.22","214.47","883.45","258.00","-48.87","-4.80"
"POWERGRID","188.50","189.00","185.75","187.50","-0.20","-0.11","22.63","42.29","224.95","174.10","-15.04","3.33"
"JISLJALEQS","76.50","77.50","74.50","75.60","-0.10","-0.13","182.70","139.09","150.40","71.70","-20.38","-8.64"
"KSCL","617.95","621.50","609.30","613.50","-0.80","-0.13","2.70","16.59","637.70","431.20","8.70","11.77"
"KPIT","297.50","299.05","293.40","296.50","-0.45","-0.15","9.53","28.22","309.95","109.10","163.09","1.82"
"BAJFINANCE","2,866.00","2,885.00","2,841.50","2,851.20","-5.40","-0.19","6.88","196.77","2,908.00","1,511.20","65.64","15.47"
"TATACOMM","560.80","564.05","550.10","557.00","-1.05","-0.19","1.75","9.74","754.00","534.50","-11.38","-1.84"
"INFY","1,430.90","1,437.65","1,423.00","1,426.55","-3.00","-0.21","31.95","457.18","1,437.65","860.00","46.28","7.43"
"BAJAJ-AUTO","2,671.00","2,677.95","2,641.00","2,661.35","-6.15","-0.23","3.31","88.20","3,468.35","2,605.00","-6.59","-13.99"
"JUSTDIAL","574.05","578.45","568.65","572.80","-1.50","-0.26","11.48","65.83","647.00","346.80","63.68","-2.31"
"NTPC","159.00","160.25","157.65","158.10","-0.45","-0.28","38.93","61.80","188.00","149.50","-7.05","1.80"
