Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"HCC","12.85","15.70","12.85","15.40","2.60","20.31","717.78","103.86","44.95","9.45","-57.10","54.00"
"LT","1,300.00","1,331.90","1,282.00","1,323.05","82.90","6.68","112.28","1,471.90","1,470.00","1,113.05","16.67","2.39"
"DIVISLAB","1,178.00","1,256.85","1,178.00","1,249.85","75.10","6.39","27.96","345.38","1,256.85","618.20","93.57","15.17"
"TATAMTRDVR","136.85","144.50","136.70","144.15","8.30","6.11","65.98","92.79","261.90","133.50","-36.94","4.19"
"CADILAHC","359.95","385.95","358.35","377.05","19.80","5.54","93.00","350.48","519.45","332.75","-21.71","6.44"
"CUMMINSIND","681.80","714.50","679.85","713.85","36.15","5.33","7.81","54.83","984.00","613.20","-20.82","11.90"
"DCBBANK","166.00","175.20","166.00","174.00","8.50","5.14","20.09","34.50","206.50","155.05","-5.61","7.11"
"GMRINFRA","19.20","20.40","19.10","20.05","0.95","4.97","637.37","126.07","25.05","14.55","8.09","11.39"
"INFIBEAM","202.00","212.60","201.55","211.00","9.85","4.90","55.32","114.98","212.60","87.15","49.12","33.29"
"TVSMOTOR","518.00","541.20","516.20","541.00","25.10","4.87","95.43","499.89","794.45","507.00","-6.73","-4.95"
"TATAMOTORS","261.85","271.85","259.20","270.55","12.30","4.76","255.77","684.51","468.00","243.10","-29.78","7.43"
"IDEA","51.50","54.05","51.30","53.30","2.40","4.72","257.34","136.65","118.90","48.30","-40.35","6.60"
"NATIONALUM","69.30","72.10","67.80","72.00","3.20","4.65","164.70","114.68","97.60","56.55","2.35","22.87"
"ADANIENT","203.15","214.25","202.15","212.20","9.15","4.51","198.08","415.80","223.50","100.85","87.13","49.23"
"AMARAJABAT","860.00","895.00","858.00","893.00","35.50","4.14","14.29","126.39","902.85","664.55","10.79","14.99"
"INDIGO","1,050.00","1,092.00","1,046.05","1,092.00","42.05","4.00","11.78","126.20","1,520.00","890.55","-16.79","-0.65"
"MFSL","468.25","484.95","465.30","481.50","17.75","3.83","4.54","21.62","652.90","403.25","-19.74","10.98"
"RELCAPITAL","434.10","457.50","434.00","452.05","16.00","3.67","52.53","234.76","879.90","334.30","-42.29","31.24"
"CANBK","279.00","289.20","278.65","287.50","10.15","3.66","54.71","154.78","463.70","216.55","-14.20","26.21"
"ONGC","164.00","169.90","164.00","169.00","5.95","3.65","96.74","162.62","212.85","151.80","5.23","5.43"
"IGL","277.00","286.10","275.90","285.90","9.90","3.59","30.10","84.89","344.90","240.95","12.17","7.16"
"BANKBARODA","147.00","151.50","146.25","151.35","5.15","3.52","104.67","155.59","206.65","109.50","2.09","28.64"
"IRB","190.00","195.95","189.50","195.20","6.60","3.50","21.67","41.85","286.20","183.75","-7.51","2.07"
"ORIENTBANK","79.60","82.40","78.65","81.60","2.75","3.49","37.37","29.97","159.90","65.60","-34.93","20.18"
"TATASTEEL","583.00","601.80","582.90","600.20","20.05","3.46","116.62","692.74","748.11","493.00","-4.03","19.03"
"PETRONET","220.00","229.75","219.35","225.50","7.50","3.44","45.09","101.83","275.65","202.05","-1.16","8.78"
"GODREJCP","1,353.90","1,407.00","1,350.00","1,392.10","46.25","3.44","8.61","118.94","1,407.00","883.00","51.38","4.89"
"RBLBANK","581.00","593.00","574.00","592.95","19.50","3.40","29.86","175.03","593.00","443.30","14.70","4.94"
"HINDALCO","221.00","227.00","220.40","226.60","6.90","3.14","75.97","170.25","284.00","192.35","-1.61","6.69"
"VEDL","216.90","222.80","215.60","221.65","6.45","3.00","105.06","230.55","355.70","200.65","-27.28","8.81"
"L&TFH","184.40","189.50","184.00","186.05","5.30","2.93","167.17","313.14","213.85","140.55","5.89","22.76"
"TORNTPOWER","228.35","236.00","227.20","234.50","6.60","2.90","8.60","19.99","307.35","206.10","11.01","5.89"
"CAPF","624.10","643.20","624.10","641.15","17.95","2.88","8.40","53.50","901.85","475.00","-12.39","31.60"
"IDFCBANK","47.00","48.15","46.70","47.90","1.30","2.79","148.28","70.63","70.40","35.80","-15.07","29.99"
"BAJAJ-AUTO","2,674.00","2,746.60","2,664.20","2,735.10","73.75","2.77","5.81","157.37","3,468.35","2,605.00","-3.21","-11.99"
"RECLTD","110.90","113.85","110.15","113.10","3.05","2.77","44.86","50.44","184.00","89.00","-33.12","24.22"
"JINDALSTEL","200.65","206.80","197.30","204.20","5.40","2.72","108.30","219.10","294.30","128.10","46.01","9.67"
"ESCORTS","874.00","896.45","869.00","892.50","23.20","2.67","16.24","143.93","1,017.70","591.05","41.81","3.61"
"PAGEIND","34,130.00","35,080.00","34,100.00","34,899.00","887.65","2.61","0.47","163.62","35,080.00","16,565.10","106.67","22.31"
"RELIANCE","1,207.90","1,236.80","1,207.65","1,235.15","31.40","2.61","76.07","933.79","1,236.80","765.00","57.64","13.05"
"BHARATFORG","635.05","650.60","634.80","646.50","15.85","2.51","12.16","78.40","798.00","556.70","9.04","8.61"
"SAIL","76.20","77.95","75.65","77.75","1.90","2.50","99.74","76.80","101.45","52.85","31.67","9.35"
"RPOWER","32.75","33.70","32.60","33.35","0.80","2.46","81.51","27.00","65.20","28.80","-17.96","11.17"
"RELINFRA","415.15","432.60","414.00","426.20","10.15","2.44","28.10","119.13","589.90","364.65","-13.27","12.77"
"DLF","212.80","216.45","212.30","215.00","4.85","2.31","80.27","172.42","273.85","158.20","16.09","25.95"
"BANKINDIA","94.25","96.00","93.00","95.45","2.15","2.30","72.82","68.75","216.80","76.50","-34.51","20.75"
"IBULHSGFIN","1,276.40","1,302.00","1,271.35","1,296.10","29.20","2.30","10.05","129.65","1,440.00","1,081.00","7.97","8.04"
"JSWSTEEL","334.10","342.25","334.00","341.35","7.35","2.20","29.69","100.45","351.00","228.25","45.50","15.24"
"WOCKPHARMA","626.70","644.40","626.70","639.00","13.65","2.18","15.26","97.32","1,012.00","530.65","12.74","10.84"
"PIDILITIND","1,128.00","1,158.70","1,128.00","1,147.70","24.00","2.14","9.48","108.83","1,195.40","751.30","40.27","8.26"
"PEL","2,718.00","2,781.90","2,710.00","2,760.00","56.80","2.10","2.57","70.85","3,018.70","2,275.00","1.70","7.80"
"ENGINERSIN","123.05","125.70","121.65","124.55","2.55","2.09","17.66","21.81","206.40","117.80","-17.98","3.02"
