RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1,20MICRONS,EQ,281261,132945,47.27
20,2,21STCENMGM,EQ,7993,6373,79.73
20,3,3IINFOTECH,EQ,956300,538980,56.36
20,4,3MINDIA,EQ,2491,1667,66.92
20,5,5PAISA,EQ,17161,14482,84.39
20,6,63MOONS,EQ,890341,204637,22.98
20,7,8KMILES,EQ,166602,60083,36.06
20,8,A2ZINFRA,EQ,210753,139013,65.96
20,9,AARTIDRUGS,EQ,29699,25557,86.05
20,10,AARTIIND,EQ,35015,17772,50.76
20,11,AARVEEDEN,EQ,49723,24603,49.48
20,12,AARVI,SM,16000,12000,75.00
20,13,ABAN,EQ,402263,106226,26.41
20,14,ABB,EQ,220404,79212,35.94
20,15,ABBOTINDIA,EQ,8274,5299,64.04
20,16,ABCAPITAL,EQ,943258,512922,54.38
20,17,ABFRL,EQ,1528627,656401,42.94
20,18,ACC,EQ,755388,219643,29.08
20,19,ACCELYA,EQ,4889,4495,91.94
20,20,ACCURACY,SM,8000,6400,80.00
20,21,ACE,EQ,178067,111635,62.69
20,22,ADANIENT,EQ,14397102,860249,5.98
20,23,ADANIGREEN,EQ,946929,440185,46.49
20,24,ADANIPORTS,EQ,2012760,499592,24.82
20,25,ADANIPOWER,EQ,28047038,6606887,23.56
20,26,ADANITRANS,EQ,2334231,1005023,43.06
20,27,ADFFOODS,EQ,171603,134649,78.47
20,28,ADHUNIKIND,EQ,10567,1844,17.45
20,29,ADLABS,EQ,145069,68831,47.45
20,30,ADORWELD,EQ,11570,6082,52.57
20,31,ADSL,EQ,35941,27296,75.95
20,32,ADVANIHOTR,EQ,4489,3280,73.07
20,33,ADVENZYMES,EQ,60287,35195,58.38
20,34,AEGISCHEM,EQ,618179,570601,92.30
20,35,AFL,EQ,117800,53648,45.54
20,36,AGARIND,EQ,787,426,54.13
20,37,AGCNET,EQ,5776,4712,81.58
20,38,AGLSL,EQ,891,520,58.36
20,39,AGRITECH,EQ,16503,11016,66.75
20,40,AGROPHOS,SM,24000,0,0.00
20,41,AHLEAST,EQ,12704,9226,72.62
20,42,AHLUCONT,EQ,5185,3378,65.15
20,43,AHLWEST,EQ,615,447,72.68
20,44,AIAENG,EQ,18085,11293,62.44
20,45,AIFL,EQ,245602,81842,33.32
20,46,AIRAN,SM,15000,15000,100.00
20,47,AIROLAM,SM,6000,6000,100.00
20,48,AISL,SM,6000,4800,80.00
20,49,AJANTPHARM,EQ,667672,107876,16.16
20,50,AJMERA,BL,1458681,1458681,100.00
20,51,AJMERA,EQ,20656,11671,56.50
20,52,AKASH,SM,2000,0,0.00
20,53,AKSHARCHEM,EQ,2686,2202,81.98
20,54,AKSHOPTFBR,EQ,430636,243471,56.54
20,55,AKZOINDIA,EQ,5939,5380,90.59
20,56,ALANKIT,EQ,878056,201708,22.97
20,57,ALBERTDAVD,EQ,13095,7501,57.28
20,58,ALBK,EQ,3333825,497902,14.93
20,59,ALEMBICLTD,EQ,403600,174457,43.23
20,60,ALICON,EQ,3147,2964,94.18
20,61,ALKALI,EQ,8044,6550,81.43
20,62,ALKEM,EQ,31153,20231,64.94
20,63,ALKYLAMINE,EQ,1812,1683,92.88
