Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"SREINFRA","46.90","52.85","46.15","50.60","4.05","8.70","150.46","76.99","129.80","45.85","-57.39","-5.15"
"BHEL","73.90","80.80","73.15","80.10","6.20","8.39","317.98","249.29","107.95","64.45","-5.80","9.05"
"BALRAMCHIN","70.70","75.65","70.35","75.10","4.40","6.22","43.42","32.07","182.50","58.70","-54.46","13.53"
"JSWSTEEL","336.05","356.50","336.05","355.30","15.70","4.62","83.02","289.05","356.50","229.50","48.20","11.64"
"APOLLOHOSP","1,150.00","1,205.80","1,149.00","1,196.00","48.45","4.22","23.19","276.24","1,263.40","910.10","9.46","27.32"
"INFIBEAM","214.70","224.30","213.30","221.80","8.65","4.06","72.07","158.47","224.30","87.15","57.82","27.69"
"VEDL","214.00","225.00","212.25","223.50","8.70","4.05","120.33","263.80","355.70","200.65","-25.40","3.35"
"TATACHEM","710.30","733.15","710.10","731.45","22.40","3.16","18.78","136.12","787.50","568.10","24.38","9.08"
"PEL","2,825.00","2,901.00","2,790.35","2,900.00","84.75","3.01","3.64","103.82","3,018.70","2,275.00","10.47","6.56"
"RBLBANK","593.70","612.80","592.70","611.20","16.10","2.71","32.67","197.97","612.80","443.30","20.04","7.28"
"HINDZINC","288.00","294.00","285.05","292.95","6.75","2.36","12.53","36.49","340.20","260.65","2.25","7.47"
"NATIONALUM","69.95","72.60","68.80","72.00","1.65","2.35","109.92","77.76","97.60","56.55","3.15","17.94"
"PTC","84.60","87.55","84.10","86.65","1.95","2.30","26.84","23.05","130.45","67.80","-23.62","15.46"
"CADILAHC","390.70","402.50","381.20","400.25","8.80","2.25","37.49","146.95","519.45","332.75","-13.49","7.46"
"SHREECEM","17,750.00","18,463.00","17,750.00","18,330.00","398.20","2.22","0.29","53.17","19,848.90","14,980.00","6.78","3.18"
"AUROPHARMA","684.00","696.00","669.40","695.00","12.10","1.77","33.30","227.70","809.45","527.00","-0.52","16.94"
"ONGC","171.00","176.50","170.80","174.60","2.70","1.57","98.68","172.42","212.85","151.80","9.33","11.07"
"GRASIM","1,044.00","1,068.00","1,033.00","1,061.00","15.45","1.48","16.94","179.23","1,300.00","914.20","-5.19","6.15"
"JUBLFOOD","1,505.00","1,544.90","1,505.00","1,527.00","22.10","1.47","13.75","210.24","1,544.90","652.53","10.63","6.24"
"NBCC","71.65","74.15","71.00","72.50","1.05","1.47","54.70","39.70","291.30","60.60","-64.65","6.54"
"GLENMARK","651.75","663.50","633.05","660.90","8.80","1.35","14.17","92.66","663.50","493.50","10.18","17.45"
"PNB","85.20","87.90","85.05","85.60","1.10","1.30","629.11","543.93","231.45","71.65","-39.99","7.94"
"IRB","187.90","193.20","186.85","190.50","2.15","1.14","22.18","42.35","286.20","183.75","-10.40","-3.71"
"GODREJIND","627.90","633.80","621.05","631.80","7.10","1.14","3.90","24.50","657.90","512.55","5.25","3.19"
"AXISBANK","638.05","643.40","634.00","638.50","6.75","1.07","150.36","959.99","644.65","447.50","27.03","16.92"
"RCOM","19.05","19.90","18.10","19.05","0.20","1.06","1,573.30","298.14","40.15","9.60","-17.35","40.07"
"ZEEL","505.00","511.80","500.55","510.90","5.30","1.05","14.63","74.16","619.00","477.00","-0.78","-2.73"
"BAJFINANCE","2,892.00","2,943.40","2,891.05","2,920.50","26.65","0.92","13.28","388.43","2,943.40","1,511.20","64.14","7.63"
