RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1,20MICRONS,EQ,87348,62437,71.48
20,2,21STCENMGM,EQ,2256,2233,98.98
20,3,3IINFOTECH,EQ,1653757,717208,43.37
20,4,3MINDIA,EQ,3945,2586,65.55
20,5,5PAISA,EQ,9032,3853,42.66
20,6,63MOONS,EQ,268143,94464,35.23
20,7,8KMILES,EQ,68706,33881,49.31
20,8,A2ZINFRA,EQ,201152,139662,69.43
20,9,AARTIDRUGS,EQ,7127,5295,74.29
20,10,AARTIIND,EQ,22305,8109,36.36
20,11,AARVEEDEN,EQ,20383,17982,88.22
20,12,AARVI,SM,4000,4000,100.00
20,13,ABAN,EQ,578472,99476,17.20
20,14,ABB,EQ,128345,39607,30.86
20,15,ABBOTINDIA,EQ,16270,11422,70.20
20,16,ABCAPITAL,EQ,918287,459276,50.01
20,17,ABFRL,EQ,4531770,2241760,49.47
20,18,ACC,EQ,597273,213472,35.74
20,19,ACCELYA,EQ,13980,12789,91.48
20,20,ACCURACY,SM,4800,4800,100.00
20,21,ACE,EQ,203083,115132,56.69
20,22,ADANIENT,EQ,7819637,676746,8.65
20,23,ADANIGREEN,EQ,544872,288727,52.99
20,24,ADANIPORTS,EQ,2085488,583748,27.99
20,25,ADANIPOWER,EQ,19330263,4320816,22.35
20,26,ADANITRANS,EQ,1124391,525280,46.72
20,27,ADFFOODS,EQ,54505,31866,58.46
20,28,ADHUNIKIND,EQ,21252,16126,75.88
20,29,ADLABS,EQ,99942,50028,50.06
20,30,ADORWELD,EQ,3330,2289,68.74
20,31,ADSL,EQ,12289,9489,77.22
20,32,ADVANIHOTR,EQ,5590,3937,70.43
20,33,ADVENZYMES,EQ,49597,31464,63.44
20,34,AEGISCHEM,EQ,73522,40603,55.23
20,35,AFL,EQ,31081,18233,58.66
20,36,AGARIND,EQ,662,486,73.41
20,37,AGCNET,EQ,4375,3942,90.10
20,38,AGLSL,EQ,7034,5870,83.45
20,39,AGRITECH,EQ,21566,8340,38.67
20,40,AGROPHOS,SM,24000,0,0.00
20,41,AHLEAST,EQ,1238,1018,82.23
20,42,AHLUCONT,EQ,13959,10229,73.28
20,43,AHLWEST,EQ,3855,3224,83.63
20,44,AIAENG,EQ,20889,13972,66.89
20,45,AIFL,EQ,228950,83219,36.35
20,46,AIRAN,SM,30000,30000,100.00
20,47,AISL,SM,72000,39600,55.00
20,48,AJANTPHARM,EQ,199459,26386,13.23
20,49,AJMERA,BL,1259844,1259844,100.00
20,50,AJMERA,EQ,610719,149776,24.52
20,51,AKASH,SM,18000,15000,83.33
20,52,AKSHARCHEM,EQ,4548,3136,68.95
20,53,AKSHOPTFBR,EQ,1336230,565520,42.32
20,54,AKZOINDIA,EQ,5104,3900,76.41
20,55,ALANKIT,EQ,1014289,234646,23.13
20,56,ALBERTDAVD,EQ,18108,10659,58.86
20,57,ALBK,EQ,3070603,339680,11.06
20,58,ALEMBICLTD,EQ,659693,370747,56.20
20,59,ALICON,EQ,2375,2127,89.56
20,60,ALKALI,EQ,73587,24786,33.68
20,61,ALKEM,EQ,64532,43912,68.05
20,62,ALKYLAMINE,EQ,2371,2073,87.43
20,63,ALLCARGO,EQ,231877,61436,26.50
20,64,ALLSEC,EQ,3894,2732,70.16
20,65,ALPA,EQ,23033,11295,49.04
20,66,ALPHAGEO,EQ,34390,32115,93.38
20,67,AMARAJABAT,EQ,538691,79259,14.71
20,68,AMBANIORG,SM,2000,2000,100.00
20,69,AMBER,EQ,12039,8225,68.32
20,70,AMBIKCO,EQ,13477,4905,36.40
20,71,AMBUJACEM,EQ,1731653,472280,27.27
20,72,AMDIND,EQ,21911,15194,69.34
20,73,AMJLAND,EQ,16748,15113,90.24
20,74,AMRUTANJAN,EQ,2308420,243410,10.54
20,75,ANANTRAJ,EQ,1171140,597935,51.06
20,76,ANDHRABANK,EQ,2647391,316398,11.95
20,77,ANDHRACEMT,EQ,61541,56809,92.31
20,78,ANDHRSUGAR,EQ,34652,20142,58.13
20,79,ANIKINDS,EQ,3217,2326,72.30
20,80,ANSALAPI,EQ,84431,66905,79.24
20,81,ANSALHSG,EQ,18504,13219,71.44
20,82,APARINDS,EQ,21578,17614,81.63
20,83,APCL,EQ,862,765,88.75
20,84,APCOTEXIND,EQ,5368,4858,90.50
20,85,APEX,EQ,46988,23674,50.38
20,86,APLAPOLLO,EQ,7452,5380,72.20
20,87,APLLTD,EQ,53384,18036,33.79
20,88,APOLLO,EQ,32623,12365,37.90
20,89,APOLLOHOSP,EQ,2318913,350949,15.13
20,90,APOLLOTYRE,EQ,3052623,960331,31.46
20,91,APOLSINHOT,EQ,521,503,96.55
20,92,APTECHT,EQ,220667,77579,35.16
20,93,ARCHIDPLY,EQ,17551,13981,79.66
20,94,ARCHIES,EQ,55440,28582,51.55
20,95,ARIES,EQ,22266,14320,64.31
20,96,ARIHANT,EQ,570,511,89.65
20,97,ARIHANTSUP,EQ,97014,26266,27.07
20,98,ARMANFIN,EQ,700,640,91.43
20,99,AROGRANITE,EQ,22195,10490,47.26
20,100,ARROWGREEN,EQ,33199,24434,73.60
20,101,ARROWTEX,EQ,1620,1199,74.01
20,102,ARSHIYA,EQ,22557,16043,71.12
20,103,ARSSINFRA,EQ,32419,20369,62.83
20,104,ARVIND,EQ,1322229,246897,18.67
20,105,ARVSMART,EQ,11685,6535,55.93
20,106,ASAHIINDIA,EQ,8292,4968,59.91
20,107,ASAHISONG,EQ,7163,6707,93.63
20,108,ASAL,EQ,5894,1064,18.05
20,109,ASHAPURMIN,EQ,58646,18403,31.38
20,110,ASHIANA,EQ,19369,16404,84.69
20,111,ASHIMASYN,EQ,65795,47218,71.77
20,112,ASHOKA,EQ,74856,41880,55.95
20,113,ASHOKLEY,EQ,21399785,5478199,25.60
20,114,ASIANHOTNR,EQ,4419,3666,82.96
20,115,ASIANPAINT,EQ,919355,380128,41.35
20,116,ASIANTILES,EQ,419505,150169,35.80
20,117,ASPINWALL,EQ,1891,1708,90.32
20,118,ASTEC,EQ,4767,3328,69.81
20,119,ASTERDM,EQ,28896,17100,59.18
20,120,ASTRAL,EQ,17358,11308,65.15
20,121,ASTRAMICRO,EQ,132206,103060,77.95
20,122,ASTRAZEN,EQ,117808,28590,24.27
20,123,ASTRON,EQ,96149,46931,48.81
20,124,ATFL,EQ,6630,4643,70.03
20,125,ATLANTA,EQ,128256,91748,71.54
20,126,ATUL,EQ,6051,3487,57.63
20,127,ATULAUTO,EQ,8336,5815,69.76
20,128,AUBANK,EQ,194235,124476,64.09
20,129,AURDIS,SM,4000,0,0.00
20,130,AUROPHARMA,EQ,3330426,937447,28.15
20,131,AUSOMENT,EQ,11452,8845,77.24
20,132,AUTOAXLES,EQ,28174,14871,52.78
20,133,AUTOIND,EQ,22078,15290,69.25
20,134,AUTOLITIND,EQ,4868,3209,65.92
20,135,AVADHSUGAR,EQ,46111,21556,46.75
20,136,AVANTIFEED,EQ,386794,147523,38.14
20,137,AVONMPL,SM,6000,6000,100.00
20,138,AVSL,SM,6000,3000,50.00
20,139,AVTNPL,EQ,49833,35695,71.63
20,140,AXISBANK,EQ,15035968,6825918,45.40
20,141,AXISCADES,EQ,33024,19173,58.06
20,142,AXISGOLD,EQ,236,222,94.07
20,143,AXISNIFTY,EQ,116,116,100.00
20,144,AYMSYNTEX,EQ,5893,5500,93.33
20,145,BAFNAPHARM,EQ,12750,8885,69.69
20,146,BAGFILMS,EQ,2064301,1003161,48.60
20,147,BAJAJ-AUTO,EQ,551229,315100,57.16
20,148,BAJAJCORP,EQ,18697,12431,66.49
20,149,BAJAJELEC,EQ,336043,130374,38.80
20,150,BAJAJFINSV,EQ,128111,47063,36.74
20,151,BAJAJHIND,EQ,2826751,1114425,39.42
20,152,BAJAJHLDNG,EQ,21770,16993,78.06
20,153,BAJFINANCE,EQ,1327710,284007,21.39
20,154,BALAJITELE,EQ,243588,125945,51.70
20,155,BALAMINES,EQ,14713,10167,69.10
20,156,BALKRISHNA,EQ,7739,4664,60.27
