Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change,,,,,
NIFTY 50,"10,263.70","10,272.70","10,108.55","10,121.80",-104.75,-1.02,"1,477.68","8,518.53","10,490.45","7,893.80",23.07,-2.07,,,,,
AMBUJACEM,263.65,268.25,262.3,264.15,1.65,0.63,20.7,55,291.5,197,25.31,-6.16,,,APOLLOHOSP,,#N/A
KOTAKBANK,"1,003.00","1,011.75","1,001.15","1,006.00",5.7,0.57,28.8,289.7,"1,115.05",692.5,33.17,-1.86,,,BIOCON,,AMBUJACEM
INFRATEL,387,388.4,382.85,385,1.3,0.34,35.19,135.7,482.8,281.75,2.54,-12.93,,,SAIL,,KOTAKBANK
NTPC,182.8,183.7,180.5,181.5,0.35,0.19,43.73,79.44,188,153.15,11.25,0.14,,,ASHOKLEY,,INFRATEL
MARUTI,"8,660.00","8,695.00","8,593.00","8,615.00",15.9,0.18,4.37,377.49,"8,696.00","5,035.05",63.6,4.92,,,MARICO,,NTPC
M&M,"1,414.00","1,426.95","1,406.00","1,409.00",2.45,0.17,10.77,152.53,"1,458.95","1,141.40",18.89,4.77,,,GODREJCP,,MARUTI
UPL,731.05,742.45,726.2,731.9,0.55,0.08,10.11,74.33,902.5,606.05,15.45,-8.43,,,NMDC,,M&M
YESBANK,307.8,309.9,305.1,307.05,0.15,0.05,61.21,188.4,382.9,218.11,30.79,-2.29,,,PIDILITIND,,UPL
HDFCBANK,"1,854.90","1,860.00","1,844.10","1,850.85",-2.85,-0.15,9.65,178.52,"1,879.60","1,163.60",54.29,2.34,,,M&MFIN,,YESBANK
TCS,"2,635.00","2,668.00","2,621.50","2,630.00",-7,-0.27,5.16,136.51,"2,777.40","2,145.65",15.55,0.23,,,TVSMOTOR,,HDFCBANK
AXISBANK,539.4,539.9,531.9,533.75,-1.65,-0.31,71.38,382.44,565.9,424.4,13.6,2.03,,,MRPL,,TCS
ONGC,182,183.1,179,180,-0.65,-0.36,34.52,62.63,211.8,155.2,-6.54,-5.81,,,INDIGO,,AXISBANK
ITC,256.95,259.6,254.65,255.1,-0.95,-0.37,65.94,169.52,367.7,222,9.72,-3.99,,,HEXAWARE,,ONGC
LUPIN,822.1,823.25,811.1,814.25,-3.45,-0.42,17.47,142.57,"1,573.60",811.1,-45.89,-20.8,,,AMBUJACEM,,ITC
LT,"1,216.15","1,235.00","1,208.00","1,211.00",-5.55,-0.46,17.73,216.99,"1,274.95",868.33,31.37,-0.92,,,NESTLEIND,,LUPIN
CIPLA,604.5,606,593.7,598,-2.9,-0.48,7.48,44.73,663.4,480.2,5.54,-4.72,,,SHREECEM,,LT
INDUSINDBK,"1,660.85","1,681.40","1,651.75","1,653.05",-8.9,-0.54,9.02,150.37,"1,804.00","1,037.00",52.12,1.59,,,KOTAKBANK,,CIPLA
ICICIBANK,309.7,309.95,304.4,305.3,-2.25,-0.73,66.02,202.56,332.35,224.27,26.47,1.73,,,RBLBANK,,INDUSINDBK
ULTRACEMCO,"4,228.00","4,248.50","4,153.70","4,173.00",-30.8,-0.73,1.45,60.95,"4,533.10","3,050.00",15.81,-5.18,,,OFSS,,ICICIBANK
HDFC,"1,684.20","1,685.75","1,651.05","1,662.65",-13.05,-0.78,22.69,378.61,"1,804.00","1,183.15",31.63,-2.62,,,STAR,,ULTRACEMCO
ASIANPAINT,"1,147.20","1,154.00","1,130.25","1,137.00",-9.75,-0.85,3.97,45.41,"1,262.00",851.1,17.23,-3.71,,,INFRATEL,,HDFC
BAJFINANCE,"1,737.00","1,741.80","1,705.30","1,708.00",-19.05,-1.1,6.02,103.94,"1,985.90",760.5,85.69,-5.14,,,ACC,,ASIANPAINT
